,code,unit_code,school,Level,Semester,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,mean_score,Invited,Responses,Response Rate
 BEX2000_CITY_ON-CAMPUS_ON_TRI-A-29 , BEX2000_CITY_ON-CAMPUS_ON_TRI-A-29 ,BEX2000,BEX,2,S1,4.22,4,4.09,3.91,4.09,4.09,4.3,4.09,4.09875,55,23,41.81818182
 BEX2410_CLAYTON_ON-CAMPUS_ON_S1-01 , BEX2410_CLAYTON_ON-CAMPUS_ON_S1-01 ,BEX2410,BEX,2,S1,4,4,4,4,4,4,4,4,4,2,2,100
 BEX2440_CLAYTON_ON-CAMPUS_ON_S1-01 , BEX2440_CLAYTON_ON-CAMPUS_ON_S1-01 ,BEX2440,BEX,2,S1,4,4,4,4,4,4,4,4,4,2,2,100
 BEX2500_CITY_ON-CAMPUS_ON_TRI-A-29 , BEX2500_CITY_ON-CAMPUS_ON_TRI-A-29 ,BEX2500,BEX,2,S1,4,4.11,3.89,3.89,4.11,4.11,4.22,4,4.04125,35,9,25.71428571
 BEX3000_CAULFIELD_BLOCK-ON_ON_S1-01 , BEX3000_CAULFIELD_BLOCK-ON_ON_S1-01 ,BEX3000,BEX,3,S1,4.04,3.99,3.96,3.92,3.94,3.92,4.18,3.91,3.9825,384,106,27.60416667
 BEX3000_CITY_BLOCK-ON_ON_TRI-A-29 , BEX3000_CITY_BLOCK-ON_ON_TRI-A-29 ,BEX3000,BEX,3,S1,4.5,4.5,4.33,4.17,4.33,4.17,4.5,4.5,4.375,24,6,25
 BEX3006_CAULFIELD_ON-CAMPUS_ON_S1-01 , BEX3006_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BEX3006,BEX,3,S1,4,4,4,4,3.33,4.33,5,4,4.0825,22,3,13.63636364
 BEX3006_CLAYTON_DAY-OFF_OFF_S1-01 , BEX3006_CLAYTON_DAY-OFF_OFF_S1-01 ,BEX3006,BEX,3,S1,4,4,2.5,3,5,3,4.5,3.5,3.6875,21,2,9.523809524
 BEX3012_CAULFIELD_DAY-OFF_OFF_S1-01 , BEX3012_CAULFIELD_DAY-OFF_OFF_S1-01 ,BEX3012,BEX,3,S1,4,4,3.6,3.2,2.8,3.8,4.2,3.8,3.675,21,5,23.80952381
 BEX3012_CLAYTON_DAY-OFF_OFF_S1-01 , BEX3012_CLAYTON_DAY-OFF_OFF_S1-01 ,BEX3012,BEX,3,S1,4.33,3.67,4.33,3.67,4,4,4.33,3.67,4,25,3,12
 BEX3212_CITY_ON-CAMPUS_ON_TRI-A-29 , BEX3212_CITY_ON-CAMPUS_ON_TRI-A-29 ,BEX3212,BEX,3,S1,4.6,4.6,4.4,4.4,4.6,4.6,4.6,4.6,4.55,23,5,21.73913043
 BEX3411_CAULFIELD_ON-CAMPUS_ON_S1-01 , BEX3411_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BEX3411,BEX,3,S1,3.78,3.04,3.65,3.26,3.44,3.74,4.3,3.33,3.5675,47,27,57.44680851
 BEX3411_CITY_ON-CAMPUS_ON_TRI-A-29 , BEX3411_CITY_ON-CAMPUS_ON_TRI-A-29 ,BEX3411,BEX,3,S1,3.92,3.54,3.69,3.62,3.54,3.92,4.15,4,3.7975,46,13,28.26086957
 BEX3500_CLAYTON_BLOCK-ON_ON_S1-01 , BEX3500_CLAYTON_BLOCK-ON_ON_S1-01 ,BEX3500,BEX,3,S1,3.38,3.16,3.56,3.53,3.59,3.47,4.2,3.29,3.5225,218,56,25.68807339
 BEX3600_PENINSULA_ON-CAMPUS_ON_S1-01 , BEX3600_PENINSULA_ON-CAMPUS_ON_S1-01 ,BEX3600,BEX,3,S1,4.29,4.24,4.24,4.24,4.18,4.18,4.24,4.24,4.23125,52,17,32.69230769
 BEX5001_CAULFIELD_DAY-OFF_OFF_S1-01 , BEX5001_CAULFIELD_DAY-OFF_OFF_S1-01 ,BEX5001,BEX,5,S1,4.4,3.4,3.8,3,3,3.8,4.4,3.8,3.7,6,5,83.33333333
 BEX5012_CAULFIELD_DAY-OFF_OFF_S1-01 , BEX5012_CAULFIELD_DAY-OFF_OFF_S1-01 ,BEX5012,BEX,5,S1,4.75,4,4.25,4.5,4.5,4.25,4.75,4.5,4.4375,11,4,36.36363636
 BEX5113_CAULFIELD_DAY-OFF_OFF_S1-01 , BEX5113_CAULFIELD_DAY-OFF_OFF_S1-01 ,BEX5113,BEX,5,S1,4.5,3.83,4.33,4.83,4.17,4.83,4.83,4.33,4.45625,20,6,30
 BEX5114_CAULFIELD_EVENING_ON_S1-01 , BEX5114_CAULFIELD_EVENING_ON_S1-01 ,BEX5114,BEX,5,S1,4.43,4.36,4.36,4.43,4.5,4.5,4.36,4.43,4.42125,36,14,38.88888889
 BEX5411_CLAYTON_ON-CAMPUS_ON_S1-01 , BEX5411_CLAYTON_ON-CAMPUS_ON_S1-01 ,BEX5411,BEX,5,S1,3.65,3.37,3.65,3.48,3.67,3.89,4.48,3.65,3.73,74,46,62.16216216
 BEX5413_CAULFIELD_EVENING_ON_S1-01 , BEX5413_CAULFIELD_EVENING_ON_S1-01 ,BEX5413,BEX,5,S1,4.44,3.94,4.5,4.56,4.33,4.65,4.33,4.33,4.385,45,18,40
 BEX5601_CAULFIELD_ON-CAMPUS_ON_S1-01 , BEX5601_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BEX5601,BEX,5,S1,3.61,3.39,3.57,3.44,3.51,3.41,3.83,3.31,3.50875,404,211,52.22772277
 BEX5604_CAULFIELD_ON-CAMPUS_ON_S1-01 , BEX5604_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BEX5604,BEX,5,S1,4.15,4.1,4.11,4.01,4.13,4.11,4.21,4.03,4.10625,351,190,54.13105413
 BEX5650_CLAYTON_ON-CAMPUS_ON_S1-01 , BEX5650_CLAYTON_ON-CAMPUS_ON_S1-01 ,BEX5650,BEX,5,S1,5,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.71125,6,3,50
 BEX5660_CLAYTON_ON-CAMPUS_ON_S1-01 , BEX5660_CLAYTON_ON-CAMPUS_ON_S1-01 ,BEX5660,BEX,5,S1,3.33,4.33,3.67,4.33,3.67,3.67,4,4,3.875,6,3,50
 BEX5800_CAULFIELD_BLOCK-ON_ON_T2-57 , BEX5800_CAULFIELD_BLOCK-ON_ON_T2-57 ,BEX5800,BEX,5,S1,4.33,4.44,4.44,4.33,4.22,4.67,4.67,4.33,4.42875,15,9,60
 BEX5810_CAULFIELD_BLOCK-ON_ON_S1-01 , BEX5810_CAULFIELD_BLOCK-ON_ON_S1-01 ,BEX5810,BEX,5,S1,3.94,3.75,3.88,3.5,3.94,3.94,4.06,3.75,3.845,38,16,42.10526316
 BEX5850_CLAYTON_ON-CAMPUS_ON_S1-01 , BEX5850_CLAYTON_ON-CAMPUS_ON_S1-01 ,BEX5850,BEX,5,S1,2.67,4,3.33,3.33,3.67,2.67,3,2.67,3.1675,6,3,50
 BEX5870_CAULFIELD_BLOCK-ON_ON_S1-01 , BEX5870_CAULFIELD_BLOCK-ON_ON_S1-01 ,BEX5870,BEX,5,S1,4.33,4.67,4.33,4.67,4.67,4.33,4.67,4.33,4.5,4,3,75
 BEX6001_CAULFIELD_ON-CAMPUS_ON_S1-01 , BEX6001_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BEX6001,BEX,6,S1,4.67,4.67,4.67,4.67,4.67,4.67,5,4.67,4.71125,5,3,60
 BEX6011_CAULFIELD_ON-CAMPUS_ON_S1-01 , BEX6011_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BEX6011,BEX,6,S1,5,4.83,4.83,5,5,5,5,5,4.9575,7,6,85.71428571
 BEX6013_CAULFIELD_ON-CAMPUS_ON_S1-01 , BEX6013_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BEX6013,BEX,6,S1,5,4.83,4.83,5,4.83,4.83,5,5,4.915,7,6,85.71428571
 BEX6300_CAULFIELD_BLOCK-ON_ON_T2-57 , BEX6300_CAULFIELD_BLOCK-ON_ON_T2-57 ,BEX6300,BEX,6,S1,4.83,5,5,5,4.83,5,5,4.83,4.93625,17,6,35.29411765
 BEX6500_CAULFIELD_ON-CAMPUS_ON_S1-01 , BEX6500_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BEX6500,BEX,6,S1,5,5,4.71,4.86,4.86,4.86,5,4.86,4.89375,9,7,77.77777778
 BFB2140_PENINSULA_ON-CAMPUS_ON_S1-01 , BFB2140_PENINSULA_ON-CAMPUS_ON_S1-01 ,BFB2140,BFB,2,S1,4.13,4.08,3.97,3.85,4,3.97,3.97,3.87,3.98,132,39,29.54545455
 BFB3121_PENINSULA_ON-CAMPUS_ON_S1-01 , BFB3121_PENINSULA_ON-CAMPUS_ON_S1-01 ,BFB3121,BFB,3,S1,3.95,3.63,3.74,3.32,3.58,3.63,4,3.53,3.6725,70,19,27.14285714
 BFC2140_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC2140_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC2140,BFC,2,S1,4.11,4.06,3.73,3.49,3.75,3.85,4.19,3.82,3.875,703,232,33.00142248
 BFC2340_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC2340_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC2340,BFC,2,S1,3.56,3.46,3.51,3.18,3.32,3.24,3.88,2.98,3.39125,157,41,26.11464968
 BFC2751_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC2751_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC2751,BFC,2,S1,4.21,4.12,4.16,3.88,3.95,4.15,4.31,4.1,4.11,346,86,24.85549133
 BFC3140_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC3140_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC3140,BFC,3,S1,4.34,4.39,4.2,4.16,4.24,4.25,4.45,4.25,4.285,230,67,29.13043478
 BFC3170_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF , BFC3170_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF ,BFC3170,BFC,3,S1,4.39,4.46,4.36,4.21,4.32,4.32,4.32,4.33,4.33875,46,28,60.86956522
 BFC3170_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC3170_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC3170,BFC,3,S1,4.09,4.16,3.98,3.77,3.85,3.92,4.3,3.86,3.99125,349,81,23.20916905
 BFC3240_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF , BFC3240_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF ,BFC3240,BFC,3,S1,4.33,4.32,4.18,4.09,4.18,4.09,4.23,4.27,4.21125,46,22,47.82608696
 BFC3240_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC3240_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC3240,BFC,3,S1,4.1,3.69,4.1,3.93,4.1,4,4.32,4.05,4.03625,249,58,23.29317269
 BFC3241_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF , BFC3241_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF ,BFC3241,BFC,3,S1,3.74,3.78,3.83,3.7,3.7,3.65,4.09,3.52,3.75125,42,23,54.76190476
 BFC3241_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC3241_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC3241,BFC,3,S1,2.83,2.77,2.78,2.38,2.47,2.62,3.88,2.32,2.75625,292,105,35.95890411
 BFC3540_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC3540_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC3540,BFC,3,S1,4.15,3.57,4.11,3.8,3.98,4.21,4.38,3.94,4.0175,172,47,27.3255814
 BFC5130_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC5130_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC5130,BFC,5,S1,4.2,4.17,4.1,3.87,4.06,4.11,4.34,3.96,4.10125,287,129,44.94773519
 BFC5280_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF , BFC5280_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF ,BFC5280,BFC,5,S1,4.39,4.41,4.39,4.36,4.34,4.23,4.36,4.35,4.35375,132,61,46.21212121
 BFC5280_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC5280_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC5280,BFC,5,S1,4.41,4.44,4.35,4.26,4.35,4.31,4.39,4.38,4.36125,378,172,45.5026455
 BFC5914_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF , BFC5914_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF ,BFC5914,BFC,5,S1,4.06,4.06,3.89,3.73,3.89,3.85,4.21,3.77,3.9325,99,53,53.53535354
 BFC5914_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC5914_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC5914,BFC,5,S1,3.93,4.04,3.89,3.68,3.86,3.78,4.08,3.76,3.8775,230,114,49.56521739
 BFC5915_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF , BFC5915_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF ,BFC5915,BFC,5,S1,4.24,4.22,4.22,4.22,4.04,4.12,4.49,4.08,4.20375,115,51,44.34782609
 BFC5915_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC5915_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC5915,BFC,5,S1,4.12,4.04,4.09,4.01,4.07,4.08,4.22,4.04,4.08375,313,159,50.79872204
 BFC5916_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF , BFC5916_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF ,BFC5916,BFC,5,S1,4.25,4.25,4.16,4.17,4.23,4.14,4.33,4.13,4.2075,88,52,59.09090909
 BFC5916_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC5916_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC5916,BFC,5,S1,4.1,4.07,3.96,3.89,3.99,3.94,4.11,3.93,3.99875,297,165,55.55555556
 BFC5925_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF , BFC5925_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF ,BFC5925,BFC,5,S1,4.41,4.29,4.32,4.32,4.35,4.29,4.41,4.29,4.335,53,34,64.1509434
 BFC5925_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC5925_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC5925,BFC,5,S1,4.28,4.2,4.16,4.12,4.19,4.19,4.28,4.2,4.2025,305,166,54.42622951
 BFC5926_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC5926_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC5926,BFC,5,S1,4.32,4.28,4.23,4.17,4.26,4.17,4.3,4.21,4.2425,477,240,50.31446541
 BFC5926_CLAYTON_ON-CAMPUS_ON_T2-57 , BFC5926_CLAYTON_ON-CAMPUS_ON_T2-57 ,BFC5926,BFC,5,S1,4.53,4.37,4.32,4.37,4.42,4.37,4.37,4.32,4.38375,41,19,46.34146341
 BFC5935_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF , BFC5935_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF ,BFC5935,BFC,5,S1,4.48,4.46,4.46,4.44,4.39,4.43,4.35,4.41,4.4275,120,71,59.16666667
 BFC5935_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC5935_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC5935,BFC,5,S1,4.29,4.24,4.26,4.09,4.2,4.2,4.31,4.19,4.2225,472,254,53.81355932
 BFC5936_CLAYTON_ON-CAMPUS_ON_S1-01 , BFC5936_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFC5936,BFC,5,S1,4.3,4.25,4.28,4.18,4.26,4.26,4.31,4.18,4.2525,183,87,47.54098361
 BFF1001_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF1001_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF1001,BFF,1,S1,4.56,4.5,4.53,4.38,4.5,4.38,4.44,4.25,4.4425,28,16,57.14285714
 BFF1001_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF1001_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF1001,BFF,1,S1,4.43,4.3,4.39,4.14,4.38,4.42,4.52,4.42,4.375,622,244,39.22829582
 BFF1001_CITY_ON-CAMPUS_ON_TRI-A-29 , BFF1001_CITY_ON-CAMPUS_ON_TRI-A-29 ,BFF1001,BFF,1,S1,4.22,4.33,4.44,4.11,4.33,4.22,4.33,4.22,4.275,28,9,32.14285714
 BFF2140_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF2140_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF2140,BFF,2,S1,4.08,4.18,4.03,3.98,4.03,4.02,4.2,4.02,4.0675,138,66,47.82608696
 BFF2140_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF2140_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF2140,BFF,2,S1,3.96,3.86,3.71,3.75,3.87,3.87,3.96,3.72,3.8375,595,183,30.75630252
 BFF2140_CITY_ON-CAMPUS_ON_TRI-A-29 , BFF2140_CITY_ON-CAMPUS_ON_TRI-A-29 ,BFF2140,BFF,2,S1,3.44,3,2.89,2.89,3,3.33,4,3,3.19375,33,9,27.27272727
 BFF2341_CITY_ON-CAMPUS_ON_TRI-A-29 , BFF2341_CITY_ON-CAMPUS_ON_TRI-A-29 ,BFF2341,BFF,2,S1,4.3,4.4,4.4,4.2,4.4,4.3,4.5,4.4,4.3625,43,10,23.25581395
 BFF2401_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF2401_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF2401,BFF,2,S1,4.34,4.37,4.24,4.17,4.29,4.27,4.29,4.24,4.27625,80,42,52.5
 BFF2401_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF2401_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF2401,BFF,2,S1,3.97,3.92,3.9,3.82,3.9,3.83,3.97,3.8,3.88875,518,148,28.57142857
 BFF2701_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF2701_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF2701,BFF,2,S1,3.95,3.92,3.92,3.79,3.82,3.72,4.1,3.85,3.88375,141,40,28.36879433
 BFF3121_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF3121_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF3121,BFF,3,S1,4.07,3.88,4.02,3.9,3.95,4.07,4.17,3.88,3.9925,108,44,40.74074074
 BFF3121_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF3121_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF3121,BFF,3,S1,2.93,2.52,2.88,2.62,2.61,2.79,3.74,2.52,2.82625,417,118,28.29736211
 BFF3331_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF3331_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF3331,BFF,3,S1,4.14,4.19,4.17,4.11,4.14,4.14,4.32,4.14,4.16875,101,37,36.63366337
 BFF3331_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF3331_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF3331,BFF,3,S1,4.14,4.16,4.04,4.03,4.04,3.96,4.05,4.01,4.05375,318,75,23.58490566
 BFF3351_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF3351_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF3351,BFF,3,S1,4.5,4.4,4.3,4.3,4.3,4.5,4.4,4.3,4.375,31,12,38.70967742
 BFF3351_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF3351_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF3351,BFF,3,S1,3.94,4.09,3.98,3.96,3.94,4.13,4.17,3.98,4.02375,195,47,24.1025641
 BFF3651_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF3651_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF3651,BFF,3,S1,3.36,3.6,3.36,3.45,3.36,3.27,3.82,3.36,3.4475,28,11,39.28571429
 BFF3651_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF3651_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF3651,BFF,3,S1,3.46,3.59,3.29,3.39,3.1,3.45,3.82,3.29,3.42375,170,41,24.11764706
 BFF3751_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF3751_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF3751,BFF,3,S1,4.65,4.6,4.65,4.54,4.52,4.63,4.56,4.57,4.59,103,49,47.57281553
 BFF3751_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF3751_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF3751,BFF,3,S1,4.38,4.39,4.33,4.2,4.23,4.26,4.4,4.31,4.3125,326,80,24.5398773
 BFF3841_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF3841_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF3841,BFF,3,S1,4,3.92,4,3.77,4,3.92,4.23,4,3.98,48,13,27.08333333
 BFF3841_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF3841_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF3841,BFF,3,S1,4.22,4.28,4.18,4.08,4.14,4.16,4.37,4.12,4.19375,242,51,21.07438017
 BFF5220_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF5220_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF5220,BFF,5,S1,4.71,4.29,4.57,4.57,4.43,4.67,4.71,4.57,4.565,15,7,46.66666667
 BFF5220_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF5220_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF5220,BFF,5,S1,4,4.13,4.1,3.94,3.97,4.1,4.13,4,4.04625,70,31,44.28571429
 BFF5230_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF5230_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF5230,BFF,5,S1,4.18,3.91,3.91,3.91,4.18,4,4.45,4.18,4.09,39,11,28.20512821
 BFF5250_CAULFIELD_EVENING_ON_S1-01 , BFF5250_CAULFIELD_EVENING_ON_S1-01 ,BFF5250,BFF,5,S1,4.09,3.91,4.03,4.03,4,4.09,4.03,3.78,3.995,77,32,41.55844156
 BFF5250_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF5250_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF5250,BFF,5,S1,4.67,4.67,4.83,4.83,5,4.83,4.83,4.83,4.81125,11,6,54.54545455
 BFF5255_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF5255_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF5255,BFF,5,S1,4.35,4.19,4.28,4.27,4.23,4.31,4.31,4.31,4.28125,54,26,48.14814815
 BFF5270_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF5270_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF5270,BFF,5,S1,4.46,4.58,4.5,4.31,4.31,4.38,4.38,4.5,4.4275,59,26,44.06779661
 BFF5270_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF5270_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF5270,BFF,5,S1,4.3,4.35,4.3,4.3,4.25,4.25,4.28,4.28,4.28875,121,41,33.88429752
 BFF5300_CAULFIELD_EVENING_ON_S1-01 , BFF5300_CAULFIELD_EVENING_ON_S1-01 ,BFF5300,BFF,5,S1,4,4.05,4.11,3.26,3.89,4.16,4.47,3.68,3.9525,37,19,51.35135135
 BFF5340_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF5340_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF5340,BFF,5,S1,3.75,3.75,4,3,3.5,3.75,4,3.75,3.6875,20,4,20
 BFF5580_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF5580_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF5580,BFF,5,S1,3.8,4,4.07,3.47,3.47,3.73,4.2,3.64,3.7975,62,15,24.19354839
 BFF5902_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF5902_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF5902,BFF,5,S1,4.28,4.22,4.17,4.1,4.24,4.17,4.13,4.17,4.185,139,69,49.64028777
 BFF5902_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF5902_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF5902,BFF,5,S1,4.34,4.31,4.3,4.16,4.22,4.26,4.28,4.29,4.27,334,161,48.20359281
 BFF5954_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF5954_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF5954,BFF,5,S1,4.15,4.25,4.21,4,4.13,4.11,4.19,4.11,4.14375,115,54,46.95652174
 BFF5954_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF5954_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF5954,BFF,5,S1,4.14,4.1,4.09,4.03,4,3.98,4.12,3.98,4.055,245,122,49.79591837
 BFF5977_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , BFF5977_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,BFF5977,BFF,5,S1,4.41,4.41,4.41,4.32,4.23,4.32,4.32,4.27,4.33625,63,22,34.92063492
 BFF5977_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFF5977_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFF5977,BFF,5,S1,4.13,4.07,4,3.85,4,4.08,4.23,3.87,4.02875,128,54,42.1875
 BFX3301_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFX3301_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFX3301,BFX,3,S1,4.59,4.59,4.41,4.41,4.53,4.47,4.5,4.53,4.50375,54,17,31.48148148
 BFX3355_CLAYTON_ON-CAMPUS_ON_S1-01 , BFX3355_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFX3355,BFX,3,S1,4.2,3.83,4.18,3.75,3.98,4.17,4.31,4.03,4.05625,391,122,31.20204604
 BFX3999_CLAYTON_ON-CAMPUS_ON_S1-01 , BFX3999_CLAYTON_ON-CAMPUS_ON_S1-01 ,BFX3999,BFX,3,S1,3.92,3.77,3.88,3.69,3.84,3.88,4.42,3.73,3.89125,97,26,26.80412371
 BFX4000_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFX4000_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFX4000,BFX,4,S1,4.75,4.25,4.25,4,4,4.25,4.5,4.5,4.3125,14,4,28.57142857
 BFX4001_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFX4001_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFX4001,BFX,4,S1,3.75,4.5,4.5,4.25,4,4.25,4.5,4.25,4.25,14,4,28.57142857
 BFX4002_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFX4002_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFX4002,BFX,4,S1,3.75,3.75,4,4.25,4,4,4.5,3.75,4,14,4,28.57142857
 BFX4003_CAULFIELD_ON-CAMPUS_ON_S1-01 , BFX4003_CAULFIELD_ON-CAMPUS_ON_S1-01 ,BFX4003,BFX,4,S1,2,2.25,2.5,2.75,2.25,2.25,4.25,2.5,2.59375,14,4,28.57142857
