,code,unit_code,school,Level,Semester,Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,mean_score,Invited,Responses,Response Rate
 ACF5957_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , ACF5957_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,ACF5957,ACF,5,S1,4.48,4.33,4.29,4.24,4.38,4.38,4.52,4.2,4.3525,27,21,77.77777778
 ACF5957_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACF5957_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACF5957,ACF,5,S1,4.23,4.07,4.2,4.06,4.14,4.11,4.33,4.11,4.15625,138,90,65.2173913
 ACX3150_CLAYTON_ON-CAMPUS_ON_S1-01 , ACX3150_CLAYTON_ON-CAMPUS_ON_S1-01 ,ACX3150,ACX,3,S1,4.29,4.26,4.31,4.19,4.26,4.24,4.38,4.29,4.2775,91,42,46.15384615
 ACX3250_CAULFIELD_ON-CAMPUS_ON_S1-01 , ACX3250_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ACX3250,ACX,3,S1,4.6,4.2,4.6,4.4,4.2,4.4,4.4,4.4,4.4,17,5,29.41176471
 ADA1111_CAULFIELD_BLOCK-ON_ON_S1-01 , ADA1111_CAULFIELD_BLOCK-ON_ON_S1-01 ,ADA1111,ADA,1,S1,4.33,4.13,4.53,4.5,4.53,4.6,4.47,4.53,4.4525,28,15,53.57142857
 ADA3111_CAULFIELD_BLOCK-ON_ON_S1-01 , ADA3111_CAULFIELD_BLOCK-ON_ON_S1-01 ,ADA3111,ADA,3,S1,4.36,4.45,4.45,4.55,4.45,4.45,4.36,4.45,4.44,17,11,64.70588235
 ADA4500_CAULFIELD_BLOCK-ON_ON_S1-01 , ADA4500_CAULFIELD_BLOCK-ON_ON_S1-01 ,ADA4500,ADA,4,S1,4.18,4.27,4.24,4.2,4,4.14,4.24,4.2,4.18375,74,45,60.81081081
 ADA5111_CAULFIELD_ON-CAMPUS_ON_S1-01 , ADA5111_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ADA5111,ADA,5,S1,4.39,4.31,4.3,4.3,4.27,4.37,4.43,4.31,4.335,400,179,44.75
 ADD5091_CAULFIELD_ON-CAMPUS_ON_S1-01 , ADD5091_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ADD5091,ADD,5,S1,4.36,4.5,4.43,4.64,4.29,4.5,4.86,4.64,4.5275,20,14,70
 ADD6093_CAULFIELD_ON-CAMPUS_ON_S1-01 , ADD6093_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ADD6093,ADD,6,S1,4.6,4.4,4.6,4.6,4.2,4.6,4.4,4.6,4.5,15,5,33.33333333
 ADM5001_CAULFIELD_ON-CAMPUS_ON_S1-01 , ADM5001_CAULFIELD_ON-CAMPUS_ON_S1-01 ,ADM5001,ADM,5,S1,5,5,5,5,5,5,5,5,5,8,2,25
 ADS1001_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF , ADS1001_CLAYTON_FLEXIBLE_COMPOSITE_S1-FF ,ADS1001,ADS,1,S1,4.33,4.33,4.33,4.33,4,4,4,4,4.165,5,3,60
 ADS1001_CLAYTON_ON-CAMPUS_ON_S1-01 , ADS1001_CLAYTON_ON-CAMPUS_ON_S1-01 ,ADS1001,ADS,1,S1,3.51,3.43,3.72,3.29,3.57,3.51,4.13,3.65,3.60125,55,38,69.09090909
 AHT1101_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF , AHT1101_CAULFIELD_FLEXIBLE_COMPOSITE_S1-FF ,AHT1101,AHT,1,S1,4.2,4.5,4.2,4.3,4.2,4.3,4.3,4.2,4.275,20,10,50
 AHT1101_CAULFIELD_ON-CAMPUS_ON_S1-01 , AHT1101_CAULFIELD_ON-CAMPUS_ON_S1-01 ,AHT1101,AHT,1,S1,4.16,4.16,4.13,3.89,4.11,4.07,4.24,4.07,4.10375,528,192,36.36363636
 AHT2102_CAULFIELD_ON-CAMPUS_ON_S1-01 , AHT2102_CAULFIELD_ON-CAMPUS_ON_S1-01 ,AHT2102,AHT,2,S1,4.44,4.38,4.41,4.29,4.47,4.41,4.24,4.29,4.36625,82,34,41.46341463
 AHT2530_CAULFIELD_ON-CAMPUS_ON_S1-01 , AHT2530_CAULFIELD_ON-CAMPUS_ON_S1-01 ,AHT2530,AHT,2,S1,4.83,4.83,4.67,4.83,5,4.83,5,4.83,4.8525,21,6,28.57142857
 AHT2712_CAULFIELD_ON-CAMPUS_ON_S1-01 , AHT2712_CAULFIELD_ON-CAMPUS_ON_S1-01 ,AHT2712,AHT,2,S1,3.94,3.75,3.92,3.8,3.94,3.38,4.13,3.69,3.81875,33,16,48.48484848
 AHT2740_CAULFIELD_ON-CAMPUS_ON_S1-01 , AHT2740_CAULFIELD_ON-CAMPUS_ON_S1-01 ,AHT2740,AHT,2,S1,4.17,4.33,4.17,4.67,4,4.17,4.67,4.5,4.335,18,6,33.33333333
 AHT3001_CAULFIELD_ON-CAMPUS_ON_S1-01 , AHT3001_CAULFIELD_ON-CAMPUS_ON_S1-01 ,AHT3001,AHT,3,S1,3.8,2.8,3.8,4.4,4,4.2,4.6,4,3.95,17,5,29.41176471
 AHT3530_CAULFIELD_ON-CAMPUS_ON_S1-01 , AHT3530_CAULFIELD_ON-CAMPUS_ON_S1-01 ,AHT3530,AHT,3,S1,4.5,4.75,4.25,4.5,4.5,4.25,4.5,4.75,4.5,16,4,25
 AHT3740_CAULFIELD_ON-CAMPUS_ON_S1-01 , AHT3740_CAULFIELD_ON-CAMPUS_ON_S1-01 ,AHT3740,AHT,3,S1,4.25,4,4.75,4,4.25,4.25,4.75,5,4.40625,13,4,30.76923077
 AHT4111_CAULFIELD_ON-CAMPUS_ON_S1-01 , AHT4111_CAULFIELD_ON-CAMPUS_ON_S1-01 ,AHT4111,AHT,4,S1,3.2,3.4,3.4,4.5,3.4,4,4.8,4.4,3.8875,7,5,71.42857143
 AHT4503_CAULFIELD_ON-CAMPUS_ON_S1-01 , AHT4503_CAULFIELD_ON-CAMPUS_ON_S1-01 ,AHT4503,AHT,4,S1,4.43,4,4.29,4.29,4.14,3.86,4.57,4.29,4.23375,19,7,36.84210526
 APG4223_CLAYTON_FLEXIBLE_COMPOSITE_S1-01 , APG4223_CLAYTON_FLEXIBLE_COMPOSITE_S1-01 ,APG4223,APG,4,S1,4.33,3.67,3.67,4.67,4,3.67,4.33,3.67,4.00125,9,3,33.33333333
 APG4354_CLAYTON_ON-CAMPUS_ON_S1-01 , APG4354_CLAYTON_ON-CAMPUS_ON_S1-01 ,APG4354,APG,4,S1,4.5,5,5,4.5,4.5,5,4.5,5,4.75,10,2,20
 APG4618_CLAYTON_ON-CAMPUS_ON_S1-01 , APG4618_CLAYTON_ON-CAMPUS_ON_S1-01 ,APG4618,APG,4,S1,4.33,4.17,4.33,3,3.5,4.33,4.83,4.17,4.0825,14,6,42.85714286
